sla_compliance,avg_cost,churn,max_latency,avg_latency,p95_latency,p99_latency,severity,cpu_util,reward,pattern,reaction_time,over_provisioning,under_provisioning,settling_time,action_entropy,replica_fairness,composite,agent,seed,seed_idx,episode_idx
96.66666666666667,1.2863283783127784,29,24358.892472800915,557.9437162616474,14.86535285656827,20879.537341331914,16249.885791379413,0.5065604364373709,-71.03,flash_crowd,2.0,2.2340748826265466,0.025,4.0,0.6486534956141354,0.9020160874980101,0.49384996540042697,RL-PPO,2001,1,1
98.33333333333333,0.4984544467471394,21,7372.095375834539,81.7806942570157,13.680365746163728,1250.6457694381916,4111.370572636365,0.5011040058490621,-33.47,flash_crowd,3.0,2.244941196037365,0.008333333333333333,2.0,0.47397752487758066,0.91292885009854,0.9916666666666667,RL-PPO,2002,1,2
99.16666666666667,0.43302626009983236,19,878.701175575219,17.383423217113794,13.53185521225032,15.830948939616125,678.701175575219,0.4680261139717725,-14.565454114513265,flash_crowd,5.0,2.302997361434861,0.008333333333333333,1.0,0.420026001688088,0.9144011544011544,0.9958333333333333,RL-PPO,2003,1,3
97.5,0.6266082527234934,24,15385.152950980702,227.1183493340388,13.66959427207807,10356.87388754624,8489.174504265518,0.5097733466999743,-33.88923835994363,flash_crowd,3.0,2.1512229380669785,0.008333333333333333,3.0,0.49472939984152287,0.9106037739103438,0.9875,RL-PPO,2004,1,4
97.5,0.9867514504563629,27,25810.80543003979,527.8019423557465,13.948441224604124,18461.98692689948,20520.66418127388,0.5329868796994485,-60.099999999999994,flash_crowd,5.0,2.167332035544833,0.016666666666666666,3.0,0.601496714671699,0.934654980523094,0.7284604227258746,RL-PPO,3000,2,0
95.0,0.8905928309495895,32,41115.825811931114,1512.063129857702,12042.587404472506,40710.562987648926,29865.218169728916,0.6160390488479834,-93.46,flash_crowd,,1.9143313507683222,0.2916666666666667,6.0,0.857196402164391,0.9346783935078781,0.7899285915772388,RL-PPO,3001,2,1
96.66666666666667,1.0886562316539348,28,39641.377875929036,948.5284820463488,14.451176356533317,32346.70815711645,27966.552251230896,0.556703272222682,-71.86,flash_crowd,6.0,2.1555306535983694,0.016666666666666666,4.0,0.790165677730154,0.9429353827521105,0.6459054628303067,RL-PPO,3002,2,2
95.0,0.9844265956877087,30,48217.79586343258,1830.8395483368085,20106.861666946967,47709.93086336831,36223.7127773773,0.5664252580282116,-93.34,flash_crowd,6.0,2.1191781576397606,0.041666666666666664,6.0,0.7256350384659658,0.9375026411363464,0.7177487725479164,RL-PPO,3003,2,3
97.5,1.1883024896292533,27,13060.975095554571,258.2694794168901,15.038122331396476,11416.880530275064,9738.869257977924,0.5465231518605997,-60.14,flash_crowd,3.0,2.060714514493573,0.016666666666666666,3.0,0.5669824692543964,0.9094880912213311,0.5734211618236513,RL-PPO,3004,2,4
99.16666666666667,0.4622534793379028,21,5555.594817826234,56.46745373245398,13.293552897357612,14.596378081153784,5355.594817826234,0.6885347815162906,-22.109999999999996,gradual_ramp,,1.4684847700172776,0.008333333333333333,1.0,0.41698826854975235,0.9076953799654577,0.9958333333333333,RL-PPO,1000,0,0
